collection,finish,metal,name,price,product_link,size,style
Simply Silver,"Polish,Matte",Sterling Silver,Wide Cuban Link Necklace,"$2,350.00",https://versani.com/?page=detail&par=B1138N&num=B1138N-14,"14 IN,16 IN,18 IN",B1138N-14
Black Diamond,Black Rhodium,Sterling Silver,Black Diamond Assorted Organic Shapes Necklace,"$1,800.00",https://versani.com/?page=detail&par=0&num=N272,None,N272
Black Diamond,Black Rhodium,Sterling Silver,Black & White Diamond Organic Shape Pendant Necklace,"$2,500.00",https://versani.com/?page=detail&par=0&num=P295,None,P295
Black Diamond,Black Rhodium,Sterling Silver,Black & White Diamond Organic Shapes Open Cuff,"$4,800.00",https://versani.com/?page=detail&par=0&num=B1174,ONE SIZE,B1174
Gemstones,"Polish,Matte",Sterling Silver,Tension Necklace,"$2,200.00",https://versani.com/?page=detail&par=GN67&num=GN67,20 IN,GN67
Black Diamond,Black Rhodium,Sterling Silver,Emerald With Black Diamond Baguette Frame Pendant Necklace,"$2,500.00",https://versani.com/?page=detail&par=0&num=P297,None,P297
Gemstones,"Polish,Matte",Sterling Silver,Gemstone Tension Necklace with Flower Pendant ,"$2,800.00",https://versani.com/?page=detail&par=GN65&num=GN65,20 IN,GN65
Diamond & Precious,None,14K Yellow Gold,White Diamond And Emerald Small Drop Earrings,"$3,300.00",https://versani.com/?page=detail&par=0&num=GE354,None,GE354
Bridal,Polish,14K White Gold,Small Inside Out Diamond Huggies,"$1,500.00",https://versani.com/?page=detail&par=0&num=GE186,None,GE186
Leather,"Polish,Matte",Sterling Silver,Leather Belt with Oval Black Stingray Buckle,$795.00,https://versani.com/?page=detail&par=0&num=Belt%2014,None,BELT 14
Black Diamond,Black Rhodium ,Sterling Silver,Black Diamond Rectangle Link Bracelet,"$6,800.00",https://versani.com/?page=detail&par=0&num=B1433,"7,7.5,8,8.5,9",B1433
Diamond & Precious,None,14K Yellow Gold,White Diamond And Emerald Tear Pendant Necklace,"$3,500.00",https://versani.com/?page=detail&par=0&num=GP197,None,GP197
Leather,None,,Round Cosmos Chronograph Watch on Black Leather Band ,$595.00,https://versani.com/?page=detail&par=0&num=W054,None,W054
